Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 7}",0.651745446,0.634048353,0.642616511,0.682295564,0.635047352
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 7}",0.651083758,0.627306731,0.638893828,0.673869596,0.628646011
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 9}",0.651075803,0.632073081,0.64129953,0.683764329,0.63358857
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 18}",0.650169524,0.667807882,0.658497221,0.721529411,0.66165765
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 18}",0.649935372,0.671339013,0.659987733,0.722981956,0.665250886
"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 15}",0.647557568,0.612926704,0.62901584,0.653619196,0.613606098
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 5}",0.64684716,0.622788047,0.634360426,0.661942058,0.62438341
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 13}",0.646635877,0.627323373,0.636515709,0.677437902,0.626511431
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 18}",0.646141227,0.670662727,0.65785001,0.724413703,0.663673943
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 5}",0.644605075,0.628096902,0.636009376,0.665763988,0.628982963
"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 11}",0.644204383,0.613260916,0.627759169,0.660049792,0.613491595
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 5}",0.64393742,0.622401718,0.632929099,0.664446145,0.623701938
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 18}",0.643909084,0.671897021,0.65684778,0.726984818,0.664350748
"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 19}",0.642657294,0.611568865,0.625787993,0.652477426,0.61079711
"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 15}",0.642193963,0.603218584,0.62141212,0.649865553,0.604395642
"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 13}",0.642189489,0.612930931,0.626755782,0.657600906,0.613265489
"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 11}",0.642185511,0.601283211,0.620621128,0.642453186,0.602932698
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 16}",0.641687381,0.667037766,0.653535491,0.71992677,0.659861663
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 18}",0.641021715,0.671873307,0.655559404,0.723888419,0.663005965
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 7}",0.640855174,0.621285186,0.630529664,0.659529223,0.62056722
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 11}",0.640612074,0.608090727,0.623590826,0.655151832,0.609444634
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 18}",0.640587715,0.665697921,0.65254884,0.712731608,0.657842974
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 7}",0.64038538,0.62532557,0.632539349,0.672456379,0.624715192
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 5}",0.63837496,0.622218586,0.629976964,0.663891017,0.622247317
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 9}",0.636838808,0.608046187,0.621635287,0.651863558,0.608326208
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 18}",0.636341672,0.658423564,0.646835285,0.711969517,0.651887918
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 18}",0.635683463,0.669309302,0.651618776,0.718071708,0.659303648
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 5}",0.635261394,0.614272595,0.624143392,0.65148573,0.613935611
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 16}",0.634994929,0.664967488,0.649184844,0.714360658,0.656939306
"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 13}",0.634855234,0.609085025,0.620860985,0.647961362,0.607880427
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 16}",0.634767738,0.672348343,0.652331392,0.720362025,0.662441519
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 7}",0.634368537,0.627718729,0.630851834,0.663494084,0.625165261
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 18}",0.63433672,0.663559111,0.648444989,0.711571614,0.654691358
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 9}",0.634161728,0.615340605,0.624186027,0.658854293,0.613937881
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 5}",0.633467229,0.613215075,0.62303447,0.650622045,0.613824764
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 16}",0.632546035,0.674968229,0.652307949,0.724643332,0.6633438
"{'criterion': 'gini', 'max_features': 12, 'n_estimators': 5}",0.631900255,0.613790521,0.622601901,0.657074557,0.614836379
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 16}",0.631889318,0.666866377,0.64864284,0.71273823,0.656378643
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 5}",0.631674057,0.619720546,0.625520672,0.662520071,0.620002396
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 18}",0.631234589,0.651757083,0.641162786,0.699394263,0.643802192
"{'criterion': 'gini', 'max_features': 17, 'n_estimators': 14}",0.631202772,0.676039386,0.651775193,0.719294573,0.664129939
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 7}",0.631020323,0.614832001,0.62260679,0.649822969,0.613710135
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 5}",0.630144368,0.614378719,0.621948847,0.650309865,0.613155021
"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 11}",0.629715837,0.599273388,0.613341445,0.635027127,0.597880932
"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 9}",0.629263443,0.612041081,0.620003546,0.648898755,0.609785117
"{'criterion': 'gini', 'max_features': 19, 'n_estimators': 14}",0.627860026,0.675832612,0.650156218,0.721511887,0.663005586
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 18}",0.62654162,0.659401731,0.642310443,0.709213091,0.649869355
"{'criterion': 'gini', 'max_features': 15, 'n_estimators': 16}",0.625417595,0.66444408,0.643801224,0.714284407,0.65391102
"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 17}",0.625032811,0.604294371,0.613492104,0.642199664,0.600573273
"{'criterion': 'gini', 'max_features': 10, 'n_estimators': 7}",0.624787723,0.619367097,0.621898604,0.659214792,0.61663451
"{'criterion': 'gini', 'max_features': 2, 'n_estimators': 9}",0.623703468,0.602280438,0.611899881,0.631442825,0.599116887
"{'criterion': 'gini', 'max_features': 13, 'n_estimators': 16}",0.623414632,0.666458329,0.643805784,0.713437449,0.654698168
"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 15}",0.622133511,0.59479208,0.607614348,0.630280868,0.593729429
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 18}",0.621640352,0.659982561,0.639953016,0.709682347,0.648859506
"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 7}",0.620788757,0.60523027,0.612360317,0.643469076,0.602823491
"{'criterion': 'gini', 'max_features': 9, 'n_estimators': 16}",0.620761414,0.650364262,0.635158729,0.696146218,0.640773654
"{'criterion': 'gini', 'max_features': 14, 'n_estimators': 14}",0.620512349,0.664286095,0.641351068,0.71011613,0.652561445
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 18}",0.618529769,0.650828943,0.634003441,0.694404143,0.640322577
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 5}",0.618105711,0.609993991,0.613846033,0.648203425,0.60765369
"{'criterion': 'gini', 'max_features': 18, 'n_estimators': 14}",0.617395303,0.669050661,0.641817498,0.715053027,0.655033229
"{'criterion': 'gini', 'max_features': 7, 'n_estimators': 16}",0.617195951,0.657450171,0.636523019,0.698433727,0.645041425
"{'criterion': 'gini', 'max_features': 16, 'n_estimators': 14}",0.616931972,0.667301155,0.640505567,0.712067371,0.654354405
"{'criterion': 'gini', 'max_features': 1, 'n_estimators': 13}",0.616796751,0.591557613,0.60319581,0.62575232,0.589690412
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 16}",0.616743557,0.658710301,0.63694561,0.701008119,0.646163003
"{'criterion': 'gini', 'max_features': 11, 'n_estimators': 14}",0.616504434,0.662014356,0.638060437,0.70910945,0.649191541
"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 7}",0.615449014,0.592795395,0.603255038,0.624438966,0.590360156
"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 18}",0.615409243,0.651421785,0.632780009,0.69738979,0.639985876
"{'criterion': 'gini', 'max_features': 3, 'n_estimators': 9}",0.615238725,0.598546726,0.606158913,0.637242409,0.595981286
"{'criterion': 'gini', 'max_features': 4, 'n_estimators': 18}",0.614322005,0.6435928,0.628017729,0.679236874,0.632017428
"{'criterion': 'gini', 'max_features': 8, 'n_estimators': 5}",0.614314548,0.612329815,0.61293387,0.64328519,0.607872987
