Parameters,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_roc_auc,mean_test_accuracy
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 150}",0.668278217,0.629058639,0.647146852,0.685971978,0.633260445
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 220}",0.665090578,0.634312778,0.647700873,0.685909265,0.640551962
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 14, 'min_samples_split': 430}",0.700570216,0.625703751,0.66038408,0.685872253,0.63763427
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 280}",0.643033626,0.63354041,0.635552834,0.685823862,0.632920339
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 110}",0.641492006,0.643914946,0.642008822,0.685792517,0.640779707
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 14, 'min_samples_split': 190}",0.68251223,0.634562907,0.656499501,0.68573075,0.641453234
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 140}",0.654865475,0.636010697,0.644149302,0.685666479,0.635496665
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 240}",0.676045975,0.63410715,0.651089333,0.685647378,0.63875837
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 14, 'min_samples_split': 210}",0.673150155,0.63518989,0.652896057,0.685635012,0.641231163
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 16, 'min_samples_split': 160}",0.664447781,0.629219257,0.645728939,0.685564017,0.632800161
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 14, 'min_samples_split': 140}",0.652838152,0.625757526,0.637888844,0.685520675,0.630223584
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 260}",0.649275175,0.641226586,0.642219307,0.685517515,0.640780842
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 200}",0.666235484,0.636267761,0.650063162,0.685483818,0.639882344
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 16, 'min_samples_split': 120}",0.655972598,0.636222023,0.645223683,0.685452511,0.638308301
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 18, 'min_samples_split': 140}",0.638333698,0.634281031,0.634540236,0.685397079,0.63471721
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 90}",0.63926384,0.631601011,0.634648052,0.685340238,0.630899003
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 17, 'min_samples_split': 110}",0.642393315,0.632845747,0.636478772,0.685295861,0.631686654
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 140}",0.642154689,0.631663003,0.635289616,0.685257922,0.630335691
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 19, 'min_samples_split': 180}",0.649947801,0.633679468,0.638623906,0.685245155,0.63381745
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 19, 'min_samples_split': 80}",0.650855572,0.636735369,0.643275569,0.68519986,0.637298831
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 270}",0.679391704,0.623301485,0.648643936,0.685158753,0.630553727
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 18, 'min_samples_split': 130}",0.641694838,0.64260136,0.640144183,0.685158271,0.640104163
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 290}",0.692087576,0.6221289,0.653595375,0.685157645,0.632132562
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 19, 'min_samples_split': 280}",0.674242364,0.62795978,0.647892584,0.685087881,0.635622265
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 17, 'min_samples_split': 130}",0.647274698,0.6396439,0.642430043,0.685082285,0.639204782
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 19, 'min_samples_split': 210}",0.668247395,0.632753902,0.649171782,0.684848847,0.636964022
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 18, 'min_samples_split': 120}",0.655754355,0.634650759,0.643465771,0.68484383,0.636290243
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 17, 'min_samples_split': 110}",0.682971584,0.627537563,0.653421061,0.684778418,0.635280142
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 120}",0.6542187,0.636746043,0.644321024,0.684773695,0.636856329
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 170}",0.649504355,0.634178758,0.640685329,0.684750408,0.635277242
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 17, 'min_samples_split': 190}",0.66062679,0.632327826,0.644759551,0.68464024,0.637742847
"{'criterion': 'gini', 'max_depth': 25, 'max_features': 13, 'min_samples_split': 200}",0.665115932,0.63392054,0.648017673,0.684621867,0.638428101
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 310}",0.633886812,0.634703613,0.632230159,0.684564025,0.633137871
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 18, 'min_samples_split': 210}",0.681187361,0.62800188,0.653158779,0.684539509,0.636630979
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 18, 'min_samples_split': 90}",0.649283129,0.630706273,0.638301399,0.684508458,0.632808737
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 14, 'min_samples_split': 90}",0.673350501,0.627750817,0.649350784,0.684439437,0.635492377
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 18, 'min_samples_split': 250}",0.668687361,0.631709796,0.648778357,0.684359719,0.636967553
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 18, 'min_samples_split': 200}",0.682277581,0.628237445,0.653025117,0.68429558,0.63639718
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 17, 'min_samples_split': 190}",0.663568346,0.630891653,0.645430306,0.684285794,0.63505618
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 17, 'min_samples_split': 200}",0.65773445,0.625781109,0.640110016,0.684202289,0.631911626
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 280}",0.668000815,0.627963767,0.645678448,0.684178387,0.633254013
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 19, 'min_samples_split': 300}",0.642121878,0.632259688,0.634187445,0.684165847,0.63392754
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 17, 'min_samples_split': 100}",0.647956272,0.632655107,0.639002791,0.684163628,0.632809871
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 170}",0.649723592,0.632190323,0.639408789,0.684119345,0.634268276
"{'criterion': 'gini', 'max_depth': 35, 'max_features': 15, 'min_samples_split': 180}",0.68742543,0.628265512,0.655733443,0.68409051,0.63639655
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 15, 'min_samples_split': 110}",0.645268255,0.632951171,0.63706527,0.684073939,0.633710892
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 190}",0.668218561,0.630397171,0.646932878,0.684073768,0.635942067
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 340}",0.642361995,0.636517506,0.635412332,0.684037274,0.635497169
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 15, 'min_samples_split': 90}",0.663319281,0.630457103,0.645192698,0.684018494,0.635838283
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 19, 'min_samples_split': 130}",0.640844734,0.635038249,0.636524856,0.683959243,0.632702934
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 19, 'min_samples_split': 370}",0.663761235,0.638617416,0.648943102,0.683931179,0.642244795
"{'criterion': 'gini', 'max_depth': 20, 'max_features': 17, 'min_samples_split': 350}",0.659982501,0.626928291,0.641435077,0.683879488,0.631460044
"{'criterion': 'gini', 'max_depth': 10, 'max_features': 19, 'min_samples_split': 310}",0.704987273,0.624115997,0.659589705,0.683662065,0.638977919
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 17, 'min_samples_split': 100}",0.659982998,0.62959807,0.643413703,0.68360371,0.633145815
"{'criterion': 'gini', 'max_depth': 30, 'max_features': 17, 'min_samples_split': 260}",0.631452335,0.63426872,0.631781285,0.68353225,0.631125865
"{'criterion': 'gini', 'max_depth': 15, 'max_features': 17, 'min_samples_split': 180}",0.683859469,0.624783235,0.650804489,0.683530038,0.633031186
